"candidate","parameter","v1_confidence","v1_value","v1_url","v2_confidence","v2_value","v2_evidence_count","v2_cost_usd","v2_latency_ms"
"EMS Elektro Metall Schwanenmühle","busbar_tap_off_offering","inferred","""yes_productized""","https://ems-power.com/en/busbar-systems","verified","""yes_productized""","4","0.09249425","8106"
"EMS Elektro Metall Schwanenmühle","core_offering","verified","""Engineered high-current electrical connection technology and busbar systems (1,200A to 300,000A) for industrial, e-mobility, energy storage, grid, and renewable applications, with data centers as one served vertical.""","https://ems-power.com/en/busbar-systems","verified","""EMS Elektro Metall Schwanenmühle (Vision®Electric) designs, engineers, and manufactures customized busbar systems (1,200 to 300,000 amperes, copper or aluminum, including flexible, insulated, and industrial busbars) for power distribution in data centers and heavy industrial applications, along with related engineering, custom manufacturing, logistics, assembly, and retrofit services.""","4","0.07781275000000001","1002788"
"EMS Elektro Metall Schwanenmühle","headcount","unknown","null","","unknown","null","6","0.22673537500000002","1034731"
"EMS Elektro Metall Schwanenmühle","hyperscaler_reference_wins","unknown","null","","unknown","null","8","0.271154375","23318"
"EMS Elektro Metall Schwanenmühle","latest_material_event","unknown","null","","unknown","null","7","0.2676105","2011001"
"EMS Elektro Metall Schwanenmühle","legal_name","verified","""EMS Elektro Metall Schwanenmühle GmbH""","","verified","""EMS Elektro Metall Schwanenmühle GmbH""","3","0.052654625","11068"
"EMS Elektro Metall Schwanenmühle","pricing_disclosure","inferred","{""notes"":""EMS sells engineered/customized high-current connection products made-to-order; no list pricing is published on the company site or corporate materials."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://ems-power.com/wp-content/uploads/2022/12/EMS_Imagebroschure-EN.pdf","unknown","null","6","0.1867575","990214"
"EMS Elektro Metall Schwanenmühle","rd_capacity","unknown","null","","unknown","null","6","0.228649875","46627"
"EMS Elektro Metall Schwanenmühle","sales_cycle_length","inferred","""Long (multi-month, project-based)""","https://ems-power.com/wp-content/uploads/2022/12/EMS_Imagebroschure-EN.pdf","unknown","null","6","0.18246099999999998","1051527"
"EMS Elektro Metall Schwanenmühle","server_oem_integrator_relationships","unknown","null","","unknown","null","7","0.25389125","25502"
"Schneider Electric","busbar_tap_off_offering","verified","""yes_productized""","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","verified","""yes_productized""","4","0.08855412500000001","37383"
"Schneider Electric","core_offering","verified","""Schneider Electric offers Powerbus Busway — an overhead busway power distribution system with high-density tap-off units for delivering protected, metered power to IT racks in data centers, positioned as an alternative to rack-mounted PDUs.""","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","unknown","null","6","0.25203225","56215"
"Schneider Electric","headcount","inferred","{""as_of"":""2023-12-31"",""value"":168000}","","unknown","null","6","0.19520025000000002","63405"
"Schneider Electric","hyperscaler_reference_wins","inferred","[""Equinix (HK1, liquid cooling deployment)"",""Google (anchor tenant at TeraWulf Lake Mariner campus)""]","https://equinix.mediaroom.com/2025-09-10-Equinix,-Dell-Technologies-and-Schneider-Electric-Support-AI-Infrastructure-in-Hong-Kong","unknown","null","8","0.316716875","1023085"
"Schneider Electric","latest_material_event","unknown","null","","unknown","null","7","0.18269362500000003","36626"
"Schneider Electric","legal_name","verified","""Schneider Electric SE""","","verified","""Schneider Electric SE""","3","0.03168625","706143"
"Schneider Electric","pricing_disclosure","inferred","{""notes"":""Powerbus Busway brochure and corporate materials describe product configuration and channel-based sales but do not publish list prices; pricing is quoted via direct sales / channel partners."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","unknown","null","6","0.24650187499999998","41481"
"Schneider Electric","rd_capacity","unknown","null","","unknown","null","4","0.10759975000000002","1058073"
"Schneider Electric","sales_cycle_length","inferred","""months to quarters (data center infrastructure project sale)""","","unknown","null","6","0.2182965","16303"
"Schneider Electric","server_oem_integrator_relationships","inferred","[""Lenovo""]","https://www.prnewswire.com/news-releases/schneider-electric-extends-strategic-partnerships-with-aveva-lenovo-and-stratus-to-enable-itot-convergence-301078656.html","unknown","null","7","0.174079875","2003941"
