"candidate","parameter","v1_confidence","v1_value","v1_url","v2_confidence","v2_value","v2_evidence_count","v2_cost_usd","v2_latency_ms"
"EMS Elektro Metall Schwanenmühle","busbar_tap_off_offering","inferred","""yes_productized""","https://ems-power.com/en/busbar-systems","verified","""yes_productized""","4","0.09319175","22460"
"EMS Elektro Metall Schwanenmühle","core_offering","verified","""Engineered high-current electrical connection technology and busbar systems (1,200A to 300,000A) for industrial, e-mobility, energy storage, grid, and renewable applications, with data centers as one served vertical.""","https://ems-power.com/en/busbar-systems","verified","""EMS Elektro Metall Schwanenmühle (a Pantheon Electric company) engineers, manufactures, and installs customized high-current busbar systems (under the Vision®Electric brand, including flexible, insulated, and industrial IndustryBars ranging from 1,200 to 300,000 amperes in copper or aluminum) for power distribution in data centers and heavy industrial applications such as metal/mining, chemical processing, and manufacturing, along with related engineering, assembly, logistics, and after-sales services.""","4","0.107686","43505"
"EMS Elektro Metall Schwanenmühle","headcount","unknown","null","","unknown","null","6","0.236564625","97337"
"EMS Elektro Metall Schwanenmühle","hyperscaler_reference_wins","unknown","null","","unknown","null","8","0.279064625","44567"
"EMS Elektro Metall Schwanenmühle","latest_material_event","unknown","null","","unknown","null","7","0.273321125","200435"
"EMS Elektro Metall Schwanenmühle","legal_name","verified","""EMS Elektro Metall Schwanenmühle GmbH""","","verified","""EMS Elektro Metall Schwanenmühle GmbH""","3","0.05345087500000001","23527"
"EMS Elektro Metall Schwanenmühle","pricing_disclosure","inferred","{""notes"":""EMS sells engineered/customized high-current connection products made-to-order; no list pricing is published on the company site or corporate materials."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://ems-power.com/wp-content/uploads/2022/12/EMS_Imagebroschure-EN.pdf","inferred","{""notes"":""Products are custom-engineered high-current busbar systems; pricing is not published and the site repeatedly directs prospects to 'request a quote' or contact sales for individual offers."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","4","0.10263662500000001","46915"
"EMS Elektro Metall Schwanenmühle","rd_capacity","unknown","null","","unknown","null","6","0.22559525000000002","55715"
"EMS Elektro Metall Schwanenmühle","sales_cycle_length","inferred","""Long (multi-month, project-based)""","https://ems-power.com/wp-content/uploads/2022/12/EMS_Imagebroschure-EN.pdf","unknown","null","6","0.211518","59670"
"EMS Elektro Metall Schwanenmühle","server_oem_integrator_relationships","unknown","null","","unknown","null","7","0.257341875","41790"
